customer_id,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion
0,10,142.44,1,0,Surburban,0,Phone,Buy One Get One,0
1,6,329.08,1,1,Rural,1,Web,No Offer,0
2,7,180.65,0,1,Surburban,1,Web,Buy One Get One,0
3,9,675.83,1,0,Rural,1,Web,Discount,0
4,2,45.34,1,0,Urban,0,Web,Buy One Get One,0
5,6,134.83,0,1,Surburban,0,Phone,Buy One Get One,1
6,9,280.2,1,0,Surburban,1,Phone,Buy One Get One,0
7,9,46.42,0,1,Urban,0,Phone,Buy One Get One,0
8,9,675.07,1,1,Rural,1,Phone,Discount,0
9,10,32.84,0,1,Urban,1,Web,Buy One Get One,0
10,7,548.91,0,1,Urban,1,Phone,Buy One Get One,1
11,1,211.45,0,1,Urban,1,Phone,Buy One Get One,0
12,5,642.9,0,1,Surburban,1,Multichannel,Buy One Get One,0
13,2,101.64,0,1,Urban,0,Web,Discount,1
14,4,241.42,0,1,Rural,1,Multichannel,No Offer,0
15,3,58.13,1,0,Urban,1,Web,No Offer,1
16,5,29.99,1,0,Surburban,0,Phone,Discount,0
17,9,112.35,1,0,Rural,0,Web,Discount,0
18,11,219.04,1,1,Surburban,0,Phone,Discount,0
19,5,828.42,1,0,Surburban,1,Multichannel,Discount,0
20,9,29.99,0,1,Surburban,1,Phone,No Offer,0
21,11,182.32,1,0,Surburban,0,Phone,Discount,0
22,2,118.4,1,0,Surburban,0,Web,Discount,1
23,2,29.99,0,1,Urban,1,Phone,No Offer,0
24,4,78.24,1,0,Surburban,0,Web,No Offer,0
25,6,139.87,0,1,Rural,1,Web,Discount,0
26,12,115.39,0,1,Surburban,0,Phone,Discount,1
27,6,162.98,0,1,Surburban,0,Web,Discount,0
28,7,435.73,0,1,Urban,1,Web,No Offer,0
29,2,203.35,1,0,Rural,0,Web,No Offer,0
30,2,237.53,0,1,Surburban,0,Phone,Buy One Get One,0
31,9,334.24,1,0,Urban,0,Web,Discount,0
32,6,128.01,0,1,Urban,0,Web,Discount,0
33,9,29.99,1,0,Surburban,1,Phone,Discount,0
34,3,29.99,1,0,Rural,0,Web,Buy One Get One,0
35,4,218.72,0,1,Urban,0,Multichannel,Buy One Get One,0
36,1,514.52,0,1,Surburban,1,Web,Discount,0
37,4,766.47,1,1,Urban,1,Multichannel,Discount,0
38,10,63.79,1,0,Rural,1,Phone,Buy One Get One,0
39,7,520.43,0,1,Surburban,1,Web,Discount,0
40,11,236.97,1,1,Urban,1,Phone,Discount,0
41,3,99.23,1,0,Rural,0,Web,Discount,1
42,9,204.18,0,1,Surburban,0,Web,Buy One Get One,0
43,2,492.02,1,0,Surburban,0,Phone,No Offer,0
44,1,48.32,0,1,Urban,0,Web,No Offer,0
45,10,29.99,1,0,Surburban,0,Phone,No Offer,0
46,2,391.33,1,0,Surburban,0,Web,No Offer,0
47,1,729.7,1,1,Surburban,1,Web,Discount,0
48,3,134.59,1,0,Urban,1,Phone,Buy One Get One,1
49,10,61.09,0,1,Surburban,0,Web,Buy One Get One,0
50,3,203.3,0,1,Surburban,0,Web,No Offer,0
51,9,185.43,1,0,Urban,0,Web,Discount,0
52,7,29.99,0,1,Urban,1,Phone,Discount,0
53,9,78.62,1,0,Urban,0,Web,Discount,0
54,12,150.06,0,1,Surburban,0,Phone,No Offer,0
55,6,42.66,1,0,Surburban,0,Web,No Offer,0
56,12,69.08,0,1,Rural,0,Phone,Buy One Get One,0
57,3,549.29,1,0,Surburban,1,Multichannel,No Offer,0
58,9,506.83,1,0,Rural,1,Multichannel,Discount,0
59,3,143.93,0,1,Surburban,0,Phone,Buy One Get One,0
60,10,115.4,1,0,Urban,0,Phone,Discount,0
61,2,96.91,1,0,Surburban,0,Phone,Buy One Get One,0
62,6,40.07,1,0,Surburban,1,Phone,Discount,0
63,11,417.21,0,1,Urban,0,Phone,No Offer,0
64,9,61.57,1,0,Surburban,1,Phone,Buy One Get One,0
65,5,222.07,0,1,Surburban,0,Phone,Buy One Get One,0
66,1,259.91,0,1,Surburban,1,Web,No Offer,0
67,11,53.81,1,0,Urban,1,Phone,No Offer,0
68,9,154.15,0,1,Surburban,0,Web,Discount,0
69,10,1009.44,1,0,Surburban,1,Multichannel,Buy One Get One,0
70,2,278.8,1,0,Rural,0,Web,Discount,0
71,10,31.12,1,0,Urban,0,Phone,Buy One Get One,0
72,2,428.74,1,0,Rural,0,Phone,Discount,0
73,7,612.28,1,0,Surburban,1,Phone,Buy One Get One,0
74,11,228.09,0,1,Surburban,1,Web,No Offer,0
75,1,640.58,0,1,Urban,1,Phone,Discount,0
76,4,194.11,1,0,Urban,0,Phone,No Offer,0
77,7,84.49,0,1,Urban,1,Web,No Offer,0
78,7,235.14,0,1,Urban,1,Phone,Discount,0
79,2,29.99,0,1,Surburban,0,Phone,Discount,0
80,7,272.32,1,0,Surburban,1,Web,Discount,0
81,2,95.33,0,1,Surburban,0,Web,No Offer,1
82,5,494.26,1,1,Surburban,1,Phone,Discount,0
83,2,809.07,1,0,Urban,1,Phone,Discount,0
84,1,80.42,0,1,Urban,1,Phone,Buy One Get One,0
85,10,237.85,1,0,Urban,0,Web,Buy One Get One,0
86,2,82.59,1,0,Surburban,0,Phone,Buy One Get One,0
87,6,165.77,0,1,Urban,0,Web,Buy One Get One,1
88,3,101.61,0,1,Surburban,1,Phone,No Offer,0
89,8,52.64,0,1,Surburban,1,Web,No Offer,0
90,6,466.29,1,0,Urban,1,Multichannel,Discount,0
91,3,100.85,1,0,Urban,1,Phone,Discount,0
92,3,1397.57,1,0,Surburban,1,Multichannel,Discount,0
93,2,770.58,0,1,Surburban,1,Phone,Discount,0
94,3,1973.87,1,0,Surburban,1,Multichannel,No Offer,0
95,3,133.51,1,0,Urban,0,Web,Discount,0
96,8,31.52,0,1,Surburban,0,Web,Discount,0
97,1,47.44,0,1,Urban,0,Phone,Buy One Get One,0
98,1,106.27,0,1,Surburban,0,Web,Buy One Get One,0
99,11,215.46,0,1,Urban,0,Web,Buy One Get One,0
100,11,189.25,0,1,Urban,1,Phone,No Offer,0
101,10,108.12,1,0,Urban,0,Web,Buy One Get One,0
102,8,66.14,1,0,Surburban,1,Phone,No Offer,0
103,8,98.56,1,0,Surburban,1,Web,Buy One Get One,0
104,6,129.14,1,0,Surburban,0,Web,Buy One Get One,0
105,2,493.17,0,1,Surburban,0,Web,Buy One Get One,0
106,11,146.04,0,1,Surburban,1,Phone,Discount,0
107,12,29.99,0,1,Urban,1,Web,No Offer,0
108,2,66.6,1,0,Urban,1,Phone,Buy One Get One,0
109,12,129.73,1,0,Surburban,0,Web,Buy One Get One,0
110,4,54.41,0,1,Urban,1,Phone,Buy One Get One,0
111,9,1172.42,1,1,Surburban,1,Web,Discount,0
112,5,244.34,0,1,Urban,1,Web,Discount,0
113,2,287.04,1,1,Urban,1,Phone,Buy One Get One,0
114,4,29.99,0,1,Urban,1,Web,Buy One Get One,0
115,9,151.01,1,0,Surburban,0,Web,No Offer,0
116,11,35.43,1,0,Urban,1,Phone,Discount,0
117,5,84.17,1,0,Urban,1,Web,Buy One Get One,0
118,3,313.6,0,1,Surburban,0,Phone,No Offer,0
119,1,117.27,0,1,Rural,0,Phone,Discount,0
120,5,29.99,0,1,Surburban,0,Web,No Offer,0
121,3,1167.93,1,1,Rural,1,Web,Buy One Get One,0
122,3,683.2,1,1,Rural,1,Multichannel,No Offer,0
123,1,110.07,0,1,Urban,0,Web,Discount,0
124,1,102.94,1,0,Urban,0,Web,Buy One Get One,0
125,2,29.99,0,1,Urban,0,Web,Discount,0
126,11,160.04,1,0,Rural,0,Web,Discount,0
127,1,418.68,0,1,Surburban,0,Web,No Offer,0
128,11,316.23,1,0,Urban,1,Phone,Discount,0
129,12,253.06,0,1,Surburban,0,Phone,Buy One Get One,0
130,9,329.96,0,1,Surburban,1,Phone,No Offer,0
131,7,185.73,1,0,Surburban,0,Phone,Discount,0
132,11,52.08,0,1,Urban,0,Web,Buy One Get One,0
133,1,616.73,0,1,Urban,1,Web,Discount,0
